bot_response,tag
Open:11 a.m Closes:10 p.m Dominos available for your service everyday,timing
"We are available for delivery in following areas i.e Hazratganj,Polytechnic,Gomti Nagar,Nishadganj,Indira Nagar,Vibhuti Khand,1090 for more info you can call us at 8791208672 or mail us at dominos@gmail.com",delivery
"Amazon Pay - Get Flat ₹30 Cash Back on min. ₹500,Paytm Wallet - Up to ₹399 cashback on MOV of Rs 399 order via Paytm Wallet or UPI,Airtel - Get 15% cashback upto ₹150 on min transaction of Rs. 600, for first time users,Freecharge - 15% Cashback upto ₹100 on first UPI transaction on Dominos via Freecharge",offers
"5, Ground Floor G-18 Shalimar Eldee Plaza, CP-105, Faizabad Rd, Indira Nagar, Lucknow, Uttar Pradesh 226016",address
"Yes, Dominos swears by its commitment and delivers the order for free if the delivery gets postponed for more than 30 minutes. Although, the 30 minutes policy is not applicable to bulk orders.",delivery
"Margherita ,Double Cheese Margherita , Farm House , Peppy Paneer , Mexican Green Wave , Indi Tandoori Paneer , PEPPER BARBECUE CHICKEN , CHICKEN SAUSAGE ,  Chicken Golden Delight , Chicken Dominator , CHICKEN FIESTA , Indi Chicken Tikka",menu
"2 Pizzas at ₹139 each , 2 Pizzas at ₹179 each , 2 Pizzas at ₹219 each , 2 Pizzas at ₹199 each) ,  2 Pizzas at ₹249 each (Select any 2 Medium Pizzas Worth ₹385 @ ₹249 each)(Select any 2 Medium Pizzas Worth ₹305 @ ₹199 each , 2 Pizzas at ₹399 each (Select any 2 Medium Pizzas Worth ₹555 @ ₹399 each)",special day(wednesday)
We can deliver food upto 10 km from our location for free,delivery
10 km is the distance we can deliver food for free,delivery
"""Onion Pizza Mania + Pepsi PET at ₹99 Only,Pizza Mania Capsicum Pizza Mania + Pepsi PET at ₹121 Only,Golden Corn Pizza Mania + Pepsi PET at  ₹123 Only,Med Pepper BBQ Chicken Pizza + Garlic Bread + Pepsi at ₹485 Only,Med Creamy Tomato Pasta Pizza + Garlic Bread + Pepsi at ₹499 Only,2 Med Pizzas(Farmhouse + Peppy Paneer) + 2(Garlic Bread + Pepsi) at ₹899 Only ",combo
"available options are Mexican Pizza, Cheese Margerita, Chicken nuggets only",menu
"Mexican Pizza, Cheese Margerita, Chicken nuggets only",menu
"We have Mexican Pizza, Cheese Margerita, Chicken nuggets",menu
we are open from 11am to 10pm,timing
11am to 10pm,timing
"buy 2 mexican pizza get 1 cold drink free, buy 5 large pizza combo at Rs. 2000 only",combo
"buy 5 large pizza combo at Rs. 2000 only,buy 2 mexican pizza get 1 cold drink free",combo
"offer 1 - 5 large pizza combo at Rs. 2000 only, offer 2 - 2 mexican pizza get 1 cold drink free",combo
"-> 10% discount on 2 pizzas, -> 30% discount on chiken nuggets	",offers
"-> get 10% discount on 2 pizzas this week , -> get 30% discount on chiken nuggets",offers
